"";"var";"en";"de"
"55";"proof_other_arguments";"All other modes of inheritance are excluded.";"Alle anderen Erbgänge sind ausgeschlossen."
"56";"claim_text_AD";"An autosomal dominant inheritance is …";"Eine autosomal dominante Vererbung ist …"
"57";"claim_text_AR";"An autosomal recessive inheritance is …";"Eine autosomal rezessive Vererbung ist …"
"58";"claim_text_XD";"An X-linked dominant inheritance is …";"Eine X-chromosomal dominante Vererbung ist …"
"59";"claim_text_XR";"An X-linked recessive inheritance is …";"Eine X-chromosomal rezessive Vererbung ist …"
"60";"claim_message";"Choose probability";"Wahrscheinlichkeit auswählen"
"61";"claim_confirmedAD";"an autosomal dominant mode of inheritance can be confirmed.";"es sich um einen autosomal dominanten Erbgang handelt."
"62";"claim_confirmedAR";"an autosomal recessive mode of inheritance can be confirmed.";"es sich um einen autosomal rezessiven Erbgang handelt."
"63";"claim_confirmedXD";"an X-linked dominant mode of inheritance can be confirmed.";"es sich um einen X-chromosomal dominanten Erbgang handelt."
"64";"claim_confirmedXR";"an X-linked recessive mode of inheritance can be confirmed.";"es sich um einen X-chromosomal rezessiven Erbgang handelt."
"65";"claim_likelyAD";"an autosomal dominant inheritance is likely.";"es sich wahrscheinlich um einen autosomal dominanten Erbgang handelt."
"66";"claim_likelyAR";"an autosomal recessive inheritance is likely.";"es sich wahrscheinlich um einen autosomal rezessiven Erbgang handelt."
"67";"claim_likelyXD";"an X-linked dominant inheritance is likely.";"es sich wahrscheinlich um einen X-chromosomal dominanten Erbgang handelt."
"68";"claim_likelyXR";"an X-linked recessive inheritance is likely.";"es sich wahrscheinlich um einen X-chromosomal rezessiven Erbgang handelt."
"69";"claim_unlikelyAD";"an autosomal dominant mode of inheritance is rather unlikely.";"es sich wahrscheinlich nicht um einen autosomal dominanten Erbgang handelt."
"70";"claim_unlikelyAR";"an autosomal recessive mode of inheritance is rather unlikely.";"es sich wahrscheinlich nicht um einen autosomal rezessiven Erbgang handelt."
"71";"claim_unlikelyXD";"an X-linked dominant mode of inheritance is rather unlikely.";"es sich wahrscheinlich nicht um einen X-chromosomal dominanten Erbgang handelt."
"72";"claim_unlikelyXR";"an X-linked recessive mode of inheritance is rather unlikely.";"es sich wahrscheinlich nicht um einen X-chromosomal rezessiven Erbgang handelt."
"73";"claim_excludedAD";"an autosomal dominant mode of inheritance can be excluded without doubt.";"es sich nicht um einen autosomal dominanten Erbgang handelt."
"74";"claim_excludedAR";"an autosomal recessive mode of inheritance can be excluded without doubt.";"es sich nicht um einen autosomal rezessiven Erbgang handelt."
"75";"claim_excludedXD";"an X-linked dominant mode of inheritance can be excluded without doubt.";"es sich nicht um einen X-chromosomal dominanten Erbgang handelt."
"76";"claim_excludedXR";"an X-linked recessive mode of inheritance can be excluded without doubt.";"es sich nicht um einen X-chromosomal rezessiven Erbgang handelt."
"77";"claim_confirmed";"confirmed";"bestätigt"
"78";"claim_likely";"likely";"wahrscheinlich"
"79";"claim_unlikely";"unlikely";"unwahrscheinlich"
"80";"claim_excluded";"excluded";"ausgeschlossen"
"81";"AD";"autosomal dominant";"autosomal dominant"
"82";"AR";"autosomal recessive";"autosomal rezessiv"
"83";"XD";"X-linked dominant";"X-chromosomal dominant"
"84";"XR";"X-linked recessive";"X-chromosomal rezessiv"
"85";"father";"Father";"Vater"
"86";"mother";"Mother";"Mutter"
"87";"child";"Child";"Kind"
"88";"proof";"Evidence";"Begründung"
"89";"claim";"<b>Claim</b>";"<b>Schlussfolgerung</b>"
"90";"dialog_cancel";"Cancel";"Abbrechen"
"91";"dialog_ok";"Continue";"Weiter"
"92";"dialog_argument_incomplete_title";"Incomplete Analysis";"Unvollständige Analyse"
"93";"dialog_argument_incomplete_message";"<div align = ""center""><i class=""fas fa-triangle-exclamation fa-4x""></i></div><br/>Your analysis is incomplete and cannot be evaluated. Please check your input.";"<div align = ""center""><i class=""fas fa-triangle-exclamation fa-4x""></i></div><br/>Deine Analyse ist unvollständig und kann nicht evaluiert werden. Bitte prüfe deine Eingaben."
"94";"dialog_self_explanation_prompt_title";"Worked-Out Example";"Beispielaufgabe"
"95";"dialog_self_explanation_prompt_message_1";"<div align = ""center""><i class=""fas fa-comment-dots fa-4x""></i></div><br/>Describe the results of the pedigree analysis in your own words.<br/><br/>Adress each mode of inheritance individually.";"<div align = ""center""><i class=""fas fa-comment-dots fa-4x""></i></div><br/>Beschreibe in eigenen Worten die Ergebnisse der Stammbaumanalyse.<br/><br/>Gehe auf jeden Erbgang einzeln ein."
"96";"dialog_self_explanation_prompt_message_2";"<div align = ""center""><i class=""fas fa-comment-dots fa-4x""></i></div><br/>Describe in your own words, why individual modes of inheritance can be excluded based on specific family constellations. 
";"<div align = ""center""><i class=""fas fa-comment-dots fa-4x""></i></div><br/>Beschreibe in eigenen Worten, weshalb einzelne Erbgänge auf der Basis spezifischer Familienkonstellationen ausgeschlossen werden können."
"97";"dialog_self_explanation_prompt_message_3";"<div align = ""center""><i class=""fas fa-comment-dots fa-4x""></i></div><br/>Describe in your own words, why a complete pedigree analysis should always take all modes of inheritance into consideration.";"<div align = ""center""><i class=""fas fa-comment-dots fa-4x""></i></div><br/>Beschreibe in eigenen Worten, weshalb du im Rahmen der Stammbaumanalyse alle Erbgänge berücksichtigen solltest."
"98";"dialog_task_completion_prompt_title";"Progressive Practice Mode";"Gestufter Übungsmodus"
"99";"dialog_task_completion_prompt_message";"<div align = ""center""><i class=""fas fa-comment-dots fa-4x""></i></div><br/>Describe the available results of the pedigree analysis in your own words before determining the (most probable) mode of inheritance.<br/><br/>The explanation should include all modes of inheritance.";"<div align = ""center""><i class=""fas fa-comment-dots fa-4x""></i></div><br/>Beschreibe in eigenen Worten die bisherigen Ergebnisse der Stammbaumanalyse, bevor du den (am wahrscheinlichsten) vorliegenden Erbgang bestimmst.<br/><br/>Die Erklärung sollte alle Erbgänge berücksichtigen."
"100";"dialog_solution_incomplete_try_again_title";"Solution Incomplete";"Lösung unvollständig"
"101";"dialog_solution_incomplete_try_again_message";"<div align = ""center""><i class=""fas fa-star-half-alt fa-4x""></i></div><br/>Your explanation is incomplete or contains errors.</br>Please try again!";"<div align = ""center""><i class=""fas fa-star-half-alt fa-4x""></i></div><br/>Deine Erklärung ist unvollständig oder zumindest teilweise fehlerhaft.<br/><br/>Versuch es noch einmal!"
"102";"dialog_solution_incomplete_elaborated_feedback_title";"Solution Incomplete";"Lösung unvollständig"
"103";"dialog_solution_incomplete_elaborated_feedback_message";"<div align = ""center""><i class=""fas fa-star-half-alt fa-4x""></i></div><br/>Your explanation is incomplete or contains errors.</br><br/>You should edit your explanation one more time. Start by inspecting the feedback to the incorrect inputs.";"<div align = ""center""><i class=""fas fa-star-half-alt fa-4x""></i></div><br/>Deine Erklärung ist unvollständig oder zumindest teilweise fehlerhaft.<br/><br/>Du solltest deine Erklärung noch ein Mal überarbeiten. Schau dir aber am Besten zunächst die Rückmeldungen zu deinen fehlerhaften Eingaben an."
"104";"dialog_next_task_title";"New Task";"Neue Aufgabe"
"105";"dialog_next_task_message";"<div align = ""center""><i class=""fas fa-triangle-exclamation fa-4x""></i></div><br/>Attention: Do you really want to create a new task? Your input to the present task will not be saved and cannot be recovered.";"<div align = ""center""><i class=""fas fa-triangle-exclamation fa-4x""></i></div><br/>Achtung: Möchtest du wirklich zu einer neuen Aufgabe wechseln? Deine Eingaben zu der aktuellen Aufgabe werden nicht gespeichert und können nicht wiederhergestellt werden."
"106";"dialog_solution_incomplete_kcr_title";"Solution Incomplete";"Lösung unvollständig"
"107";"dialog_solution_incomplete_kcr_message";"<div align = ""center""><i class=""fas fa-star-half-alt fa-4x""></i></div><br/>Your explanation is incomplete or contains errors.<br/><br/><b>Solution:</b><br/>%s";"<div align = ""center""><i class=""fas fa-star-half-alt fa-4x""></i></div><br/>Deine Erklärung ist unvollständig oder zumindest teilweise fehlerhaft.<br/><br/><b>Lösung:</b><br/>%s"
"108";"dialog_solution_complete_title";"Solution Complete";"Lösung vollständig"
"109";"dialog_solution_complete_message";"<div align = ""center""><i class = ""fas fa-medal fa-4x""></i></div><br/>Very good. You have identified the correct mode of inheritance and excluded all alternative modes of inheritances. Your solution is complete and conclusive.";"<div align = ""center""><i class = ""fas fa-medal fa-4x""></i></div><br/>Sehr gut. Du hast den richtigen Erbgang identifiziert und alle alternativen Erbgänge ausgeschlossen. Deine Lösung ist vollständig und schlüssig."
"110";"dialog_loading_pedigree_title";"Searching Pedigree";"Suche Stammbaum"
"111";"dialog_loading_pedigree_message";"<div align = ""center""><i class=""fas fa-spinner fa-pulse fa-3x""></i></div><br/>Creating a new pedigree for you. You can start right away.";"<div align = ""center""><i class=""fas fa-spinner fa-pulse fa-5x""></i></div><br/>Erstelle einen neuen Stammbaum für dich. Du kannst gleich loslegen."
"112";"dialog_app_refresh_title";"Back to Start";"Zurück zur Startseite"
"113";"dialog_app_refresh_message";"<div align = ""center""><i class=""fas fa-exclamation fa-4x""></i></div><br/>Attention: Do you really want to return to the start page? Your progress will not be saved and cannot be restored.";"<div align = ""center""><i class=""fas fa-triangle-exclamation fa-4x""></i></div><br/>Achtung: Möchtest du wirklich zur Startseite zurückkehren? Dein bisheriger Fortschritt wird nicht gespeichert und kann nicht wiederhergestellt werden."
"114";"solution_dialog_confirmed";"Therefore, it is an %s inheritance.";"Entsprechend handelt es sich um eine %s Vererbung."
"115";"solution_dialog_likely";"It is probably an %s inheritance.";"Es handelt sich wahrscheinlich um eine %s Vererbung."
"116";"solution_dialog_unlikely";"An %s inheritance is rather unlikely.";"Eine %s Vererbung ist eher unwahrscheinlich."
"117";"solution_dialog_excluded";"An %s inheritance is excluded.";"Eine %s Vererbung ist ausgeschlossen."
"118";"solution_dialog_excluded_plural";"An %s inheritance can be excluded.";"Eine %s Vererbung können ausgeschlossen werden."
"119";"step_name";"Step";"Stufe"
"120";"step_label";"Step:";"Stufe:"
"121";"seed_label";"Pedigree-ID:";"Stammbaum-ID:"
"122";"start_label";"Start";"Start"
"123";"edit_label";"Edit";"Überarbeiten"
"124";"check_arg_label";"Check";"Überprüfen"
"125";"next_task_label";"New Task";"Neue Aufgabe"
"126";"stop_label";"Back to Start";"Zurück zur Startseite"
"127";"lvl1_label";"Worked-Out Example";"Beispielaufgabe"
"128";"lvl2_label";"Progressive Practice Mode";"Gestufter Übungsmodus"
"129";"lvl3_label";"Free Practice Mode";"Offener Übungsmodus"
